INFO 2019-09-19 06:10:07,805 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 41
INFO 2019-09-19 06:10:07,808 basehttp 124 "GET /static/images/pic_code.jpg HTTP/1.1" 304 0
INFO 2019-09-19 06:10:07,809 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 200 12941
WARNING 2019-09-19 06:10:08,080 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
INFO 2019-09-19 06:26:57,697 basehttp 124 "GET /register/ HTTP/1.1" 200 3554
INFO 2019-09-19 06:26:57,748 basehttp 124 "GET /static/css/reset.css HTTP/1.1" 304 0
INFO 2019-09-19 06:26:57,758 basehttp 124 "GET /static/css/main.css HTTP/1.1" 304 0
INFO 2019-09-19 06:26:57,772 basehttp 124 "GET /static/js/vue-2.5.16.js HTTP/1.1" 304 0
INFO 2019-09-19 06:26:57,785 basehttp 124 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 304 0
INFO 2019-09-19 06:26:57,788 basehttp 124 "GET /static/images/logo.png HTTP/1.1" 304 0
INFO 2019-09-19 06:26:57,816 basehttp 124 "GET /static/images/pic_code.jpg HTTP/1.1" 304 0
INFO 2019-09-19 06:26:57,819 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 117
WARNING 2019-09-19 06:26:57,861 basehttp 124 "GET /static/js/axios.min.map HTTP/1.1" 404 1661
WARNING 2019-09-19 06:27:21,139 csrf 160 Forbidden (CSRF token missing or incorrect.): /register/
WARNING 2019-09-19 06:27:21,143 basehttp 124 "POST /register/ HTTP/1.1" 403 2502
WARNING 2019-09-19 09:57:05,225 base 152 Not Found: /
WARNING 2019-09-19 09:57:05,233 basehttp 124 "GET / HTTP/1.1" 404 2092
INFO 2019-09-19 09:57:14,105 basehttp 124 "GET /register/ HTTP/1.1" 200 3554
INFO 2019-09-19 09:57:14,146 basehttp 124 "GET /static/js/register.js HTTP/1.1" 200 909
INFO 2019-09-19 09:57:14,306 basehttp 124 "GET /static/images/interval_line.png HTTP/1.1" 304 0
INFO 2019-09-19 09:57:14,314 basehttp 124 "GET /static/images/register_banner.png HTTP/1.1" 304 0
INFO 2019-09-19 09:57:14,316 basehttp 124 "GET /static/images/icons02.png HTTP/1.1" 304 0
